Dream Symbol,Interpretation
Nail Polish,To polish your nails in your dream suggests that you need to put more focus onto what you are doing and what you are trying to accomplish.
Naive,To dream that you are being naive indicates that you may be too trusting. The dream is a wake up call.
Naked,To dream that you are naked denotes fear of being found out and exposed over your activities. You feel that you are being misjudged.
Name,To dream that you forget your name or someone else's name suggests that you are feeling overwhelmed and burdened.Â  It may also indicate that you have forgotten your true self or your family roots.
Nanny,To see or dream that you have a nanny implies that you are feeling overwhelmed. You feel that certain aspects of yourself are being neglected.
Nap,To dream that you are taking a nap suggests that you need to take a little time off to relax and take it easy. Give yourself a break.
Narcoleptic,To dream that you are narcoleptic suggests that you are oblivious to some situation. Perhaps it is something that you are refusing to see and acknowledge.
Narcosis,To dream that you are under narcosis is an indication that you are trying to suppress your emotions instead of confronting them. You may be trying desperately to avoid a problem or situation in your waking life. Or you may be trying to refuse to take responsibility for your actions.
Narrow,"To dream about narrow spaces indicate that you are experiencing some struggle in your life journey. You are feeling restricted and confined. Alternatively, the dream may be a metaphor for your narrow-mindedness. Something narrow is also symbolic of female sexuality."
NASA,To dream that you are working at NASA represents possibilities and your desire to explore new things. You do not let boundaries stop you from doing what you want.
Native Country,To dream about your native country means that you are recognizing your roots and where you came from. You are also reflecting on the decisions you have made along the way and what you have accomplished.
Nativity,To see the nativity in your dream indicates that you have made a startling new discovery about yourself and your capabilities. It also points to the importance of spiritual enlightenment and inner strength as opposed to material richness.
Nature,"To dream of nature denotes freedom, tranquility, restoration, and renewal. You are utilizing your instinctual nature."
Nautilus,"To see a nautilus in your dream reflects your tenacity.Â You don't let go of what's yours and don't give up.Â  Alternatively, dreaming of a nautilus indicates that you have a good handle of a situation."
Navel,"To see your navel in your dream represents your being and self. The dream may indicate that you need to find your center and middle ground. Alternatively, to dream of your navel signifies the bonding to their mother."
Nazi,"To see a Nazi in your dream represents an evil and merciless force that cannot be reasoned with. You feel that others are putting you down. If you are a Nazi sympathizer, then the dream has the opposite significance."
Near Death Experience,"To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something."
Nebula,To see a nebula in your dream symbolizes an outburst of creative energy and possibilities.
Necklace,"To see or wear a necklace in your dream represents unsatisfied desires. It also highlights your intellect andÂ  your desire to have more influence and power over others.Â If the necklace is broken or lost, then it indicates that your rational thinking is in accordance with your emotional thinking. You need to act on your gut instinct about some situation or relationship."
Nectarine,To dream that you are eating a nectarine indicates that you are at ease. You are content with the simple things in life.
Need,To dream that you are in need suggests that you are lacking something important in your waking life. The needs in your dream often reflect waking needs.
Needle,"To see or use a needle in your dream indicates that you need to mend some relationship or situation that has gotten out of hand. A needle is also symbolic of some emotional or physical pain.Â Alternatively, the dream is a metaphor for male sexuality or a sexual act. In particular, to see knitting needles in your dream suggest that you are manipulating a situation in order to get a desired outcome."
Negatives,"To see picture negatives in your dream represent a relationship or situation that is developing. The dream may be a pun on some ""negative"" person or force in your life. Consider also what is being depicted in the negative."
Neglect,"To feel neglected in your dream r epresents some aspect of yourself which you are not paying enough attention to. Perhaps you are overlooking something. Alternatively, it may reflect your real waking experiences of being neglected."
Neighborhood,To dream about your neighborhood represents a sense of community. You need to develop new friends and new ties. Consider your waking feelings toward your neighbors.
Nerd,To see or dream that you are a nerd indicates feelings of inferiority and/or ineffectiveness. You feel that you have been overlooked.
"Nervous
Breakdown",To dream that you or someone has a nervous breakdown suggests that you have lost your frame of reference in a relationship or situation. You are seeking more clarity and insight.Â  The dream also indicates that you are having difficulties trusting your own judgment and decisions. You are feeling insecure.
Nest,"To see a nest in your dream signifies comfort, safety, homeliness, protection, or new opportunities. Consider the condition of the nest and how it parallels your waking home situation and home life. Alternatively, the nest also means emotional dependency."
New,To see a new house in your dream indicates that you are taking on a new identity and developing new strengths. You are becoming more emotionally mature.
Oar,"To see or use oars in your dream signify control over your emotions. You are able to navigate through life based on the lessons and skills you have learned. If you are rowing energetically, then it suggests that you need to approach some situation with more aggression and determination."
Obese,"To dream that you are obese denotes overindulgence. You feel helplessness in expressing your power and authority. By dreaming that you are obese, you are trying to insulate yourself from your surroundings and protect yourself from involvement in the situation. Alternatively, the dream may just be a reflection of your waking weight or dieting issues. You have an skewed perception of your own image which may stem from low self-esteem."
Oblivious,To dream that you are oblivious suggests that you are too focused on one thing that you are missing out on something. Such a dream may be a wake up call!
Ocean,"To see an ocean in your dream represents the state of your emotions and feelings. It is indicative of spiritual refreshment, tranquility and renewal. Alternatively, the dream means that you are feeling empowered and unhindered.Â  You have a positive outlook in life and are not limited by anything. If you are sailing across the ocean, then it signifies new found freedom and independence. You are showing great courage. If the ocean is rough, then the dream represents some emotional turmoil. You are doing your best to handle life's ups and downs."
Octopus,"To see an octopus in your dream means that you are entangled in some difficult matter. Your judgment is being clouded.Â  Alternatively, the octopus indicates that you are overly possessive and maybe too clingy in a relationship."
Odometer,To see an odometer in your dream refers to how far or how little you have advanced in your life. Perhaps the dream is telling you to set milestones and work on achieving smaller goals. Also consider the numbers on the odometer for additional significance.
Odor,To smell an odor in your dream indicates a memory or past experience.Â  Consider the type of smell and whether it is pleasant or foul smelling to determine if the dream is a positive or negative one.
Offal,"To see or eat offal in your dream represents something that disgusts you, especially if it is raw. The dream may be a pun for something ""awful"". Alternatively, eating offal in your dream means that you are receptive to new experiences. Consider the kind of offal for additional significance as it may be drawing attention to your corresponding organ."
Office,"To dream of your work office indicates that you cannot seem to leave your work at the office. You are overworked or have too much on your mind. Alternatively, an office symbolizes practicality, status, accomplishments and your place in the world. If the office in your dream is unfamiliar or strange, then it suggests that you are comparing yourself to someone else. You are measuring yourself against other's standards."
Office Chair,"To see or sit on an office chair in your dream signifies your professional mobility. Perhaps you are assessing your career path and how you can move up in the workforce. Alternatively, an office chair refers to your ability to adapt to different situations at work."
Oil Lamp,"To see a lit oil lamp in your dream symbolizes knowledge, spiritual enlightenment and new awareness. An oil lamp may also mean that you are looking for guidance or reassurance."
Oil Platform,"To see an oil platform in your dream indicates that you are trying to get to the core of some emotional issue. If the oil platform goes up in flames or sinks, then it implies that you are being overwhelmed by your emotions. Your subconscious is trying to block you from delving deeper."
Old,"To see something old in your dream suggests that there is something in your life that you need to replace or get rid of. Alternatively, the dream means that there may be something in the past that you need to incorporate into your current life."
Omen,"To dream about an omen reflects your concerns, fears and/or anxieties about the future. You are worried about some outcome in your waking life and want to control what is happening around you."
Online Game,"To dream that you are playing an online game indicates that you are trying to escape from the stresses in your daily life. You want to be someone else. You want to be in control. Alternatively, dreaming about an online game may simply mean that you are spending so much time playing the game that the images have drifted into your dreams."
Open Floor Plan,"To dream that you have a house with an open floor plan or an open layout suggests that you need to work on integrating aspects of yourself. You are over compartmentalizing things. Alternatively, the dream means that you need to be more honest and open with your family."
Opera,To watch an opera in your dream represents your quest for the grander things in life. The dream may also be trying to tell you that you are beingÂ  overly dramatic in some waking situation.
Pac Man,To see or play Pac Man in your dream represents some sort of habit or behavior that is taking over your daily life.
Pacifier,To see a pacifier in your dream represents emotional nurturance. You are expressing a desire to escape from your daily responsibilities and demands.
Package,"To see a package in your dream represents hidden creative energy, skills, and/or feelings. If you receive a package, then it indicates that you are acknowledging certain feelings or acquiring new resources. If you are giving or sending a package, then it suggests that you are projecting your feelings onto another instead of dealing with them."
Packing,"To dream that you are packing signifies big changes ahead for you. You are putting past issues to rest or past relationships behind you. Alternatively, it represents the burdens that you carry."
Pagan,"If you are not a pagan, but dream that you are, then it suggests that you are misdirecting or misusing your energy."
Pageant,To watch or dream that you are in a beauty pageant refers to your own insecurities about your appearances. You are constantly comparing yourself to others and how you measure up to them. You may also be subscribing to society's unattainable standards of beauty.
Pager,"To see a pager in your dream suggests that someone is trying hard to communicate their thoughts to you.Â Someone is trying to get through to you one way or another. On the other hand, you may feel that someone is pushing their beliefs and ideas onto you."
Pain,"To dream that you are in pain suggests that you are being too hard on yourself, especially if a situation was out of your control. The dream may also be a true reflection of actual pain that exists somewhere in your body. Dreams can reveal and warn about health problems. Consider where the pain is for additional significance. If the pain is in your neck, then the dream may be a metaphor that you are literally being a ""pain in the neck""."
Paint,To see paint in your dream symbolizes expression of your inner emotions. Consider the color of the paint and how the color makes your feel. It is this feeling that you need to express more in your waking life.
Paintball,"To dream that you are playing paintball represents your competitive, but fun side. You have a chance to accomplish something great in an area of your life. However, you need to proceed carefully to avoid being ambushed or blindsided, especially by malicious coworkers, friends or enemies. If you are hit by a paintball, then it symbolizes a minor setback. Also consider the color of the paint for clues on your emotions."
Paintbrush,To see or use a paintbrush in your dream represents harmony and creativity. It is also symbolic of your artistic talents.
Painting,"To dream that you are painting your house indicates that you will experience success in a new project. You may even be promoted to a coveted position. You may be expressing your creativity. Alternatively, the dream indicates that you are covering up something. If someone else is painting your house, then it suggests that someone close to you is hiding something from you. Also consider the color of the paint to determine any additional significance. For example, red colored paint may imply painting the town red and releasing pent up excitement."
Pajamas,"To see or wear pajamas in your dream suggests that you need to relax and get some rest. In particular, if you dream that you are wearing pajamas in public, then it means that you are unaware of something important that may be right in front of you. You are drifting through life without fully paying attention to what is going on around you."
Palette,"To see or use a an artist's palette in your dream indicates that you are not afraid to express your innermost emotions. Alternatively, dreaming about a palette means that you are being your true self or that someone is being their real self; the are not putting on any facade."
Palm Reading,To dream that you are having your palms read represent your life goals and ambition.Â  The dream shows how you want to live your life and where you want to be headed.
Palpitations,To dream that you are having palpitations represent fears that you are not confronting in your waking life. You may also be nervous about something.
Pan,"To see a pan in your dream refers to your attitude and your stance on a particular situation. It may also represent criticism and anger. If the pan is made of glass, then it means that you being conscious and aware about a particular situation. You are also opening yourself up to criticism. As a receptacle, it symbolizes the womb."
Pancake,To make or eat pancakes in your dream represent gratification and pleasure in your current situation. You take pleasure and comfort in the simple things of life.
Panda,"To see a panda in your dream suggests that you are having difficulties coming to a compromise in a waking situation. You need to find a middle ground so that all parties involved will be satisfied.Â  Alternatively, a panda is symbolic of your own childlike qualities or something that is cuddly."
Pandora's Box,"To dream of a Pandora's box indicates hope. You will soon experience a turn for the better. Alternatively, it symbolizes your curiosity, your subconscious thoughts and your need to express them."
Pangolin,To see a pangolin in your dream means that you need to protect yourself from your own drive. You are moving forward too recklessly and need to think before taking action.
Panic,To dream that you are in a panic indicates a lack of control and power in your life. You are feeling helpless in some situation or unable to make a clear decision.Â Calm down.
Panther,"To see a panther in your dream signifies lurking danger and enemies working to do you harm. It represents darkness, death, and rebirth. On a more positive note, panthers signify power, beauty and/or grace. Consider the feel of your dream to determine which meaning applies."
Panties,To see or wear panties in your dream represent your feminine attitudes and feelings. It reflects a female point of view.
Pantry,"To see or open the pantry in your dream means that you have many resources within your reach. There is help when you need it. If the pantry is bare or empty, then it points to an emotional void that you are experiencing in your waking life."
Pants,"To see or wear pants in your dream suggest that you are questioning your role in some situation. Consider the material and color of the pants for additional interpretation. Alternatively, the dream may be hinting at some sexual matter."
Pantyhose,"To see or wear a pantyhose in your dream represents alluring sexuality. Consider the color of the pantyhose. If it is nude or beige color, then it signifies your discreteness. If it is black, then it symbolizes your hidden sexuality waiting to be expressed. If it is red, then it represents overt sexuality. If the pantyhose is torn or have a run, then it indicates lacking self esteem and reduced self confidence."
Paparazzi,"To dream that you are being chased or stalked by the paparazzi indicates that your privacy is being violated. You feel that your own identity is lost. Alternatively, the dream represents your aspirations for fame."
Paper,"To see blank white paper in your dream signifies your desire to make a fresh start in your life. You need to express yourself through writing or art. Alternatively, blank paper indicates that you need to work on beingÂ  more communicative."
Paper Plane,To see or fold a paper plane in your dream represents your frivolous pursuits. You are wasting time with ideas that go no where.
Paper Plates,To see or use a paper plate in your dream represents temporary nourishment or rewards. You need to take advantage of an opportunity before it is gone forever.
Paprika,"To       see or taste paprika in your dream represents someone or something is       trying to get your attention. Alternatively, dreaming about paprika is a       warning of seeing a different side of a person when they are angry."
Parade,"To dream that you are watching a parade indicates that you are being sidetracked or distracted from achieving your goals.Â You may even be purposely preventing yourself from pursuing your goals and desires because you fear that you will fail. Alternatively, the parade symbolizes cycles, passage of time, or a special event in your life. Consider also the symbolism of whatever figures/animals/floats are in the parade. They may reflect a need for you to incorporate these attributes into your own character."
Parakeets,To see a parakeet in your dream indicates that you lack initiative and new idea. You need to be more unconventional and spontaneous. The dream also relates to dependency and immaturity.
Parallel,To see a parallel line in your dream suggests that you like to avoid conflict and confrontation. The dream may also be highlighting howÂ  you are too linear in your thinking.
Paralyzed,"To dream that you are paralyzed reflects the current state of your body while you are dreaming. During the REM state of sleep, your body is really immobile and paralyzed. People report that they cannot run or hit, despite how hard they try."
Paranoia,To dream that you are paranoid indicates your hesitance in moving forward in some situation or relationship. You are so overcome with fear and suspicion that you are not ready to take that major step in your life.
Paranormal,To dream that objects are moving on its own or that switches and electronics are turning on/off orÂ  some other paranormal activity indicates that you are refusing to take responsibility for your actions. The dream is also saying that you tend to let things happen instead of making things happen.
Parchment,To see or dream that you are writing on parchment implies that there is special importance in the words that you are seeing or writing. Pay  attention to the words and its significance to your waking life.
Paris,To dream that you are in Paris symbolizes your need for romance and passion. It also suggests that you are a person of distinction. You own personal experiences and knowledge of Paris will supersede the suggested interpretation here.
Park,"To dream that you are at a park represents a temporary escape from reality. It indicates renewal, meditation, and spirituality. You may be undergoing a readjustment period after experiencing some serious personal conflict or an end to a passionate affair."
Park Ranger,To see or dream that you are a park rangerÂ represents control of your subconscious. You are also keeping your emotions in check.
Parking Lot,To dream that you are in parking lot suggests that you need to slow down and take time from your daily activities.
Parking Meter,"To see a parking meter in your dream indicates that your leisurely and carefree days are soon coming to an end. You need to decide on a goal and what you want to do with your life before your time runs out. Alternatively, a parking meter suggests that you need to adjust your attitude or run the risk of offending others."
Parking Ticket,To dream that you are getting a parking ticket suggests that you are feeling lost and not knowing what you want to do with your life. You feel that you are being judged and criticized for the path you want to take. The dream may also be analogous to your lack of accomplishments or to the setbacks in your life.
Parkour,"To dream that you are performing a parkour move indicates that you are not letting any obstacles stand in your way of your goals. Alternatively, the dream means that you are in tune with your surroundings and environment. You are able to adapt to any situation."
Parrot,"To see a parrot in your dream represents some message or gossip that is being conveyed to you. You need to think twice about repeating or sharing certain information. Alternatively, the parrot can denote a person in your waking life who is eccentric or obnoxious. It may also mean that you or someone is being repetitive or even mocking you."
Partner Swapping,"To dream about partner swapping suggests that you want to add some spice to your sex life. You want to be more sexually adventurous. Consider the couple who you are swapping with for additional significance. Alternatively, the dream may mean that there are certain aspects that you wish that your significant other possess."
Party,"To dream that you are at a party suggests that you need to get out more and enjoy yourself. If the party is a bad one, then it indicates that you are unsure of your social skills. If you dream that you are at your own birthday party, then it represents appreciation for the life you have."
Passageway,"To discover secret passageways in your dream parallel to something new and/or exciting that is occurring in your waking life. It refers to a new opportunity, a new relationship, or a new attitude toward life. If you wake up before fully exploring these passageways, then it suggest that you may not know how to take advantage of these opportunities or how to move forward with a relationship. Perhaps the newness and uncertainty of this discovery also makes you a littleÂ more cautious. Overall, this is a positive dream."
Passport,To see a passport in your dream represents your identity and your ability to traverse through various situations. You are experiencing new found freedom to do what you want and go where you want. You may be going through a period of self-discovery.
Past Life,"To dream that you have a past life indicates greater awareness of your subconscious. You are seeking for better understand of your Self and of your origins. The past life may reflect an actual past life or it may be       the life that your parents or grandparents or ancestors were living. Alternatively, the dream refers to previous lessons that you can learn from. You are open to rectifying current issues in order to move forward."
Pasta,To make or eat pasta in your dream represents your need for energy. Also consider the shape of the pasta and how it relates to a waking situation. Penne signifies your narrow perspective. Spaghetti noodles symbolize an entangling situation. Elbow shaped pasta represents your need to focus on yourself more. And corkscrew pasta means that some aspect of your life is out of control.
Pastel,To dream of pastel colors indicate that you are not fully recognizing and dealing with some part of your emotions. There is some ambiguity in your life.
Pastry,"To see or eat a pastry in your dream refers to indulgence, sensual pleasure and satisfaction. You are enjoying life and reaping its rewards."
Quadruplets,To see quadruplets in your dream represent wholeness. You are close to becoming who you really want to be. You will enjoy calmness and peace after a period of much chaos and problems.
Quartz,"To see quartz in your dream represents rigidity. You have an unyielding personality. Alternatively, quartz symbolizes the union of feminine and masculine energies.Â It may signal wholeness."
Queen,"To see a queen in your dream symbolizes intuition, personal growth, power and influence. The queen is also a symbol for your mother."
Question,To question something in your dream signifies self doubt. The ability to question things in your dream may also lead to higher knowledge and spiritual enlightenment.
Quintuplets,"To see quintuplets in your dream represent the five senses: sight, smell, taste, hearing, and touch. It may also symbolize the essential and fundamental human being. Alternatively, quintuplets represent the connection between the female and the male."
Rabbit,"To see a rabbit in your dream signifies luck, magical power, and success. You have a positive outlook on life. Alternatively, rabbits symbolize abundance, warmth, fertility and sexual activity. Perhaps your sex life needs to be kept in check"
Rabies,To dream that you have rabies represents unexpressed hostility which may erupt in violence if not expressed in a controlled manner.
Raccoon,"To see a raccoon in your dream signifies deceit and thievery. You are not being completely honest in some situation. Alternatively, the dream suggests that you are hiding something. You are keeping a secret."
Race,"To dream that you are in a race represents your competitive spirit and how you tend to measure yourself against others. Alternatively, this dream may mean that you need to slow down and take a different course in life."
Race Car,"To see a race car in your dream symbolizes your hard driving and headstrong attitudes. It may also reflect your competitive nature and the need to win. Alternatively, the race may be a pun for your issues with ""race"" and ethnicity."
Racetrack,"To see a racetrack in your dream represents life in the fast lane for you. The tracks may be a metaphor for your quest to get ahead in life. Alternatively, the dream means that you are going in circles. Or that you have a set path of thinking and doing things and are unwilling to deviate from it."
Racism,To experience racism in your dream indicates that you may be too judgmental and discriminatory in some situation in your waking life. Perhaps you have falsely pre-judged someone because of the way he or she appeared.
Rack ,"To see an empty rack in your dream signifies your preoccupation with a problem that has given you much anxiety. Perhaps, you are ""racking"" your brain for an answer to a problem. To see a rack of clothes in your dream represents your indecisiveness and self doubt. You have a lot of lingering uncertainty. To dream that you are being racked indicates that you and your actions are being called into question."
Racket, To hear a racket in your dream suggests that your subconscious is desperately trying to get your attention about some matter. *Please See Also Noise.
Racquet ,To see or use a racquet in your dream symbolizes your defense mechanisms. There is an issue that you are unwilling to address. Radar To see or use a radar in your dream symbolizes your insight and intuition. The dream may be highlighting a message from your subconscious.
Radiant ,"To see something radiant in your dream indicates purity, intellectual stimulation, spiritual enlightenment and wisdom."
Radiation ,To dream that you are exposed to radiation indicates that you are surrounded by a lot of negativity in your waking life. You are feeling overwhelmed. 
Radiator, To see a car radiator in your dream suggests that you need to cool off. You are getting overworked.
Radio,To dream that you are listening to the radio symbolizes your awareness and intuition toward a particular situation.Â  What you hear through the radio also represents messages from your subconscious. It is possible that it is some form of ESP or telepathic communication.
Radioactive ,To dream that something is radioactive represents suppressed emotions that are on the verge of spilling over into your conscious and creating a negative influence in your daily life. You need to address these feeling and problems before they do more harm in the long run.
Radish ,"To see or plant radishes in your garden signify abundance and prosperity. To dream that you are eating a radish refers to some indiscretion or thoughtlessness. Perhaps the dream may be a pun on something that is ""rad-dish"" or coolish. "
Raffle," To dream that you are raffling an item suggests that you need to be more giving and charitable. Alternatively, the dream is telling you to be more aware of the risks involved in leaving your destiny to fate. "
Raft ,"To see a raft in your dream indicates that you have not built a firm foundation for success. There is still much work ahead. To dream that you are floating on a raft suggests that you are drifting through life, not knowing where you are headed. You are confused about your purpose and direction in life. To dream that you are white water rafting means that you are experiencing some turbulent times."
Rage ,"To dream that you are in rage is symbolic of your bad temper, negative outbursts, and suppressed anger. You need to express your inner strengths and desires. "
Rags," To see old, tattered rags in your dream indicate that you are cleaning up old problems and issues. To dream that you are wearing rags represent anxieties and concerns over your self-image. You are lacking self-esteem."
Raid ,To dream that you are in a raid represents your fears that some hidden aspect of your life will be discovered or made public.
Railing,"To dream that you are holding on to a railing suggests that you are desperately holding out for a chance to obtain the object of you affection. Alternatively, the dream indicates that you are in need of some support and assistance. Don't be afraid to ask for help."
Railroad,"To see a railroad in your dream indicates that you have laid out a set track toward achieving your goals. Your progress will be slow but steady. You are well disciplined and secure in your life. Alternatively, the dream indicates that you may be too linear and rigid in your thinking. Perhaps a situation or relationship in your waking life has become monotonous. Sometimes you need to go off track and explore other possibilities."
Railroad Crossing,"To see a railroad crossing gate in your dream symbolizes temporary setbacks toward achieving your goals, especially if the gate is going down. If the gate is up, then it means that you have overcome certain obstacles in your life. You are not letting something or someone get in your way of your goals."
Rain,"To see and hear rain falling symbolizes forgiveness and grace. Falling rain is also a metaphor for tears, crying and sadness. Alternatively, rain symbolizes fertility and renewal. If you get wet from the rain, then it indicates cleaning from your troubles and problems. In particular, dreaming of acid rain indicates that you have been mislead. You are letting hatred and revenge take over and define you."
Rainbow,"To see a rainbow in your dream represents hope, success and good fortune in the form of money, prestige, or fame. The rainbow is also seen as a bridge between your earthly, grounded self and the higher, spiritual self. It refers to joy and happiness in your relationship. Alternatively, the rainbow implies that your troubles are almost over. Good will come out of your issues. Just hang in there. In the western culture, the rainbow is a symbol for gay pride."
Raincoat,"To dream that you are wearing a raincoat suggests that you are shielding yourself from your emotions. You are not able to face the nastiness. Alternatively, wearing a raincoat in your dream refers to your pessimistic outlook and unpleasantness."
Rainforest ,"To dream that you are in a rainforest suggests that you feel your emotions are being undermined and ""cut down"". Alternatively, the dream represents your waking concerns about the environment. It may also be a metaphor of the impact that you have on your surroundings."
Raisins ,To dream that you are eating raisins represent some negative force that is working against you. The dream may also be a metaphor for something or someone who is old and shriveled.
Rake ,"To dream that you are using a rake indicates that some task or project will never be accomplished unless you do it yourself. Alternatively, the dream suggests that you need to have better planning and organization in your life. You need to figure out the direction you want to take in life and then carry out that plan. To see someone raking in your dream denotes that you are effectively taking advantage of some situation. "
Ram," To see a ram in your dream signifies aggression, energy, and impulsiveness. You may be pursuing a decision that should be approached with more tact and consideration. A ram also symbolizes strong and powerful friends who will use their influence and authority to your advantage. "
Rambling,To dream that you are rambling suggests that you have a lot that you need to get off your mind. You need to express these thoughts and feelings in your waking life or it will continue to haunt you in your dream state.
Ramp,"To dream that you are going up a ramp signifies your struggles in achieving a goal.Â  It is symbolic of your determination and ambition. If you fail to go up a ramp, then it suggests that you are not able to overcome your difficulties. There are still obstacles standing on your way."
Ranch,To dream that you are at a ranch suggests that you need to take stock of your life and ascertain what you hope to achieve and gain. The dream may also refer to your own livelihood and concerns about money.
Ransom, To dream that somebody is demanding ransom from you suggests that you have been deceived. To demandÂ  ransom in your dream means that you are feeling unfairly treated.
Rape,To dream that you were raped or almost raped indicates vengeful or resentful feelings toward the opposite sex.Â  You feel that you have been violated or that you have been taken advantage of. Something or someone is jeopardizing your self-esteem and emotional well-being. Things are being forced upon you. Dreams of rape are also common for those who were actually raped in their waking life.
Rapids,To dream that you are carried away by the rapids suggests that you are experiencing some intense feelings. You may be literally be getting carried away by your emotions.
Rapping ,To hear or dream that you are rapping suggests that you need to better verbalize your thoughts and feelings. 
Rapture, To dream that you have been raptured symbolizes your strong faith and spirituality. To dream that the rapture is coming forewarns that you need to get aspects of your life in order.Â  Something major is happening in your life that you need to prepare for it. Dreaming that you are left behind in the rapture symbolizes feelings of abandonment and unworthiness. You may have self-esteem issues and often feel overlooked.
Rare,To dream that something is rare indicates that you need to appreciate certain things. Consider the symbolism or significance of the rare object or event. Don't take things for granted.
Rash,"To dream that you have a rash indicates repressed anger, frustrations and annoyances. You may be holding in your anger and frustrations, instead of expressing it. Alternatively, the dream suggests that others are trying to put doubt in your head about some decision or choice that you are making. It may be a pun on a ""rash"" decision that you are making. You need to think twice before going through with your choice."
Raspberry, To see or eat raspberries in your dream represent some precious or delicate matter.
Ration ,"To dream that you are rationing something indicates that you are not getting your fair share of something, either emotionally, financially or materially. Alternatively, it symbolizes your fairness and diplomacy in some matter."
Rats,"To see a rat in your dream signifies feelings of doubts, greed, guilt, unworthiness and envy. You are keeping something to yourself that is eating you up inside.Â Or you have done something that you are not proud of. Alternatively, a rat denotes repulsion, decay, dirtiness, and even death. The dream may also be a pun on someone who is a rat. Are you feeling betrayed?"
Rattle," To see or play with a rattle in a dreamÂ signifies joy, tranquility and contentment in the home. To hear a rattle in your dream represents some situation or issue that you need to tend to. Rattlesnake To see a rattlesnake in your dream represents the passage of time. ** *Go to Common Dreams: Snake Dreams for further analysis. Please see Snake ."
Raven ,"To see a raven in your dream symbolizes betrayal, disharmony, misfortune, and death. The death may be a symbolic death in that it signals an end to a habit or phase in your life. Alternatively, the dream suggests that someone is taking advantage of your misfortune."
Ravine,To see a ravine in your dream represents your need to be sheltered and protected.Â  You are in deep contemplation about your own emotions or relationships. Perhaps you are trying to make sense of your hidden feelings.
Razor," To see a razor in your dream suggests that there is a situation or problem that you need to smooth out. To dream that you are sharpening a razor indicates that you are ruthless and ""cutthroat."""
Razor Blade,To see or use a razor blade in your dream symbolizes precision and accuracy in what you do.
RC Car,"To see or play with an RC Car in your dream represents your ability to make quick decision. You are also feeling in control of your goals. Alternatively, the dream may mean that your goals are set too low. You are not challenging yourself."
Reach ,To dream that you are reaching for something or someone signifies a yearning or desire for something you do not have. The dream may also be symbolic of an emotional void in your life that you are trying to fill. 
Reading,To dream that you are reading indicates that you need to obtain more information and knowledge before making a decision. You need to think things through and consider all your options.
Reality Show, To dream that you are in a reality show suggests that you feel your life is under public scrutiny. You feel that someone is criticizing your decisions and actions. The dream may also be a pun that you are in need of a reality check. 
Realtor, To see or dream that you are a realtor indicates that you are searching for a new sense of self.
Reapers ,To see reapers working in your dream denote prosperity and pleasure. Rear Ended To dream that you have been rear ended indicates that something from your past is still impacting your present situation. You need to learn from the past in order to move forward.
Rear Ended,To dream that you have been rear ended indicates that something from your past is still impacting your present situation. You need to learn from the past in order to move forward.
Rearview Mirror ,"To dream that you are looking through the rearview mirror suggests that you are dwelling on the past too much. It may indicate regrets, past hurts or ""what ifs"". On the other hand, the dream may be telling you not to forget about the past and what you have left behind. You need to maintain a happy median between what is ahead for you in the future and what you left behind in the past."
Rebel ,"To dream that you are a rebel indicates that you need to stand up for yourself and be your own person, even though it may go against the masses. It is time to take action."
Rebirth,"To dream that you are born again indicates that you need to deal with issues that you have been avoiding. You may have been given a second chance to regain what was previously thought to be lost. Alternatively, the dream means that you are starting or entering a new stage in your life. You are looking toward the future instead of dwelling on the past. Some Christians are described as ""born again"". Thus the dream may also represent your renewed religiousÂ  faith and commitment."
Receipt,"To see a receipt in your dream indicates that you are accepting or acknowledging some aspect of yourself. It is a reflection of your openness and genuineness. What is the receipt for? Alternatively, the dream symbolizes guaranteed success. Better times are ahead for you."
Reception ,"To dream that you are attending a reception represents togetherness and social gatherings. The dream may parallel your social calendar. Alternatively, the dream could be a pun that you need to be more ""receptive"" to some new idea, situation, relationship or person."
Recess ,To dream about recess time suggests that you need to take a little break from your daily life for yourself. It is time to think things through and replenish your energy.
Recipe,"To dream of a recipe symbolizes your creativity, talents and enjoyment of life. You need to take advantage of life's pleasures. Consider what the recipe is for. Desserts suggest that you need to indulge in life and devote some time to leisure. A recipe for preparing meat represents your desires for physical/emotional satisfaction."
Recital,To dream that you are in a recital indicates your level of self-confidence and self esteem. Consider how you perform in the recital and how it may parallel a waking situation.
Recliner,"To see or sit on a recliner in your dream suggests that you need to take a step back to evaluate a situation. Since a recliner is sometimes referred to as a ""lazy boy"", the dream may indicate that you are unproductive."
Recognition,"To dream that you are being recognized suggests that your hard work and abilities are not going unnoticed. Keep up the good work! To dream that someone is being recognized indicates that you need to incorporate some aspects of their character into your own self. Alternatively, the dream refers to your hidden feelings and fondness toward that person. "
Reconcilement,"To dream about a reconcilement represents a person in your waking life who you need to reconnect with. You need to rid yourself of some burden that has been weighing you down. Alternatively, the dream suggests that you need to come to terms with the changes in your life."
Record,"To see or listen to a record in your dream suggests that you need to consider both sides of a situation before making a decision. You need to be more in tune with your instincts.Â  Maybe there is something that you need to say ""on or off the record."" Or the dream is telling you that you are going round and round in circles; you are not making any progress in life. Alternatively, a record represents a need for enjoyment and sensual pleasure."
